hashtags,tweets,neg,neu,pos,compound
bjp,RT dtnext huge embarrassment Congress ahead LokSabha polls spokesperson TomVadakkan key aide UPA ch…,0.169,0.698,0.134,-0.1531
bjp,officially ditch Congress join BJP season 😂 Tom Vadakkan switch parties face elections… httpstcoM8Im4r25vy,0.077,0.569,0.354,0.7783
bjp,IndianExpress career BJP 😀😀😀,0.0,1.0,0.0,0.0
bjp,RT MaaniKhan یہ پردہ ہٹالو۔۔ذرا مکھڑا دکھادو 😂😜 rally hiding faces Bharatiya Janata Partys BJP supporters party con…,0.096,0.658,0.246,0.5267
bjp,RT snehils1994 SP समाप्त पार्टी BSP बिलकुल समाप्त पार्टी RLD रोज लुढ़कता दल RJD रहो जेलमें दल AAP आधी अधूरी पार्टी…,0.0,1.0,0.0,0.0
bjp,RT NeetikaPandey4 सादर प्रणाम कौन कहता हैं की नेचरऔर सिग्नेचर कभी बदलता नही बस एक चोट की ज़रूरत हैं अगर ऊँगली पे लगी तो सिग्नेचर बदल…,0.0,1.0,0.0,0.0
bjp,RT aamalwaparty Rahulgandhi respect people tamilnadu Translator Narendra Modi tamil people 😡😡😡 prettypadmaj…,0.0,0.795,0.205,0.4767
bjp,Kashmiri BJP Workers party meeting Kashmir Hiding faces Convention Srinagar full video👉… httpstcow1xpfGmSqL,0.138,0.692,0.17,0.128
bjp,RT RitangshuB Lets put Nehru rejected UNSC seat BS rest shall MasoodAzhar BJP httpstcoAk9Uy3dZwu,0.202,0.798,0.0,-0.5106
bjp,TomVadakkan લોકસભા ચૂંટણી પહેલા કોંગ્રેસને મોટો આંચકો ટોમ વડક્કન ભાજપમાં જોડાયા httpstco1xLsE4iPTM Bjp BJP4India,0.0,1.0,0.0,0.0
bjp,RT IndianDreamz ChinaShieldsMasood BJP angry RahulGandhi Jhula diplomacy failed Biriani got cooled Self goal b…,0.337,0.663,0.0,-0.765
bjp,RT MaaniKhan یہ پردہ ہٹالو۔۔ذرا مکھڑا دکھادو 😂😜 rally hiding faces Bharatiya Janata Partys BJP supporters party con…,0.096,0.658,0.246,0.5267
bjp,RT RisingKashmir done people JampK PDP NC BJP formed governments past not…,0.0,1.0,0.0,0.0
bjp,RT MishraBRIJESH13 आज मोदी सरकार को कोई भी सफलता मिलता है विदेशी नीति पर तो मोदी की वाहवाह और असफलता मिलती है तो नेहरू ने राजीव गांधी…,0.0,1.0,0.0,0.0
bjp,RT JhaSanjay foulmouthed BJP Spokespersons desperately need Listerine mouthwash,0.245,0.755,0.0,-0.3818
bjp,Perfect👍 BJP wants defections news RahulGandhi visits respective states for… httpstcoTQzm1VEvuf,0.175,0.629,0.196,0.0772
bjp,MehboobaMufti Vadakkan ko BJP mein swagat karne k liye shukriya,0.0,1.0,0.0,0.0
bjp,RT GoNews24x7 TomVadakkanJoinsBJP TomVadakkan Elections2019 Congress BJP Kerala watch 👉 httpstcog2INMi8AFJ https…,0.0,1.0,0.0,0.0
bjp,RT AgrwalRani एक पढा लिखा MBA जब दिन भर भेड़ बकरी चराकर और शाम को बैंड बजाने के बाद घर पहुँचा तो एकांत में जाकर ज़ोर जोर से रो कर बो…,0.0,1.0,0.0,0.0
bjp,RT AgrwalRani एक पढा लिखा MBA जब दिन भर भेड़ बकरी चराकर और शाम को बैंड बजाने के बाद घर पहुँचा तो एकांत में जाकर ज़ोर जोर से रो कर बो…,0.0,1.0,0.0,0.0
bjp,RT vijayrpandey Rozgaar BJP given employ chunk people BJPITCell rest ‘Berozgaar’ country …,0.0,1.0,0.0,0.0
bjp,RT eenadulivenews భాజపా వైకాపా ఒప్పందం నిజమే అంగీకరించిన వైకాపా విజయవాడ అధికార ప్రతినిధి మనోజ్‌ కొఠారి httpstcowSYqQcLObU Eena…,0.0,1.0,0.0,0.0
bjp,RT AgrwalRani एक पढा लिखा MBA जब दिन भर भेड़ बकरी चराकर और शाम को बैंड बजाने के बाद घर पहुँचा तो एकांत में जाकर ज़ोर जोर से रो कर बो…,0.0,1.0,0.0,0.0
bjp,नईसोचनईउम्मीद BJP wesupportBJP WeSupportNarenderModi wesupport candidate SatishRanaKairwali विधानसभा… httpstcot2Kmz0uJFv,0.0,1.0,0.0,0.0
bjp,Nearly two months walked BJPled coalition Assam citizenshipamendmentbill… httpstcorhAFCUY7AJ,0.0,1.0,0.0,0.0
bjp,RT abpnewstv major surprise Congress leader Tom Vadakkan considered close aide Sonia Gandhi joined BJP toda…,0.0,0.877,0.123,0.2732
bjp,vote going decide constituencys future Vote best Vote future Vote your… httpstcoW3LxJRxnrN,0.0,0.724,0.276,0.6369
bjp,People India including MLAs MPs deserting Congress joining BJP shows citizens feeling c… httpstco3XO9TAFyjX,0.0,0.897,0.103,0.128
bjp,RT nakulssawhney BJP leaders responsible MeerutFire rest media silent BoycottGodiMedia httpstco…,0.0,0.813,0.187,0.3182
modi,RT SudheenKulkarni Modi Govts Talks Pakistan Terror Stops always HOLLOW Proof IndiaPakistan joint statement…,0.294,0.706,0.0,-0.6124
modi,RT drshamamohd CAG report exposes massive corruption smritiirani making payments Rs 593cr MPLAD funds without tender W…,0.086,0.914,0.0,-0.128
modi,RT FatyachandJ सौभाग्य योजना के अन्तर्गत 5 करोड़ से अधिक परिवारों को मिला मुफ्त बिजली कनेक्शन यही हैं अच्छे दिन किसी को लगता है हिन्दू ख…,0.0,1.0,0.0,0.0
